Source,Target,Weight
курой,карх,17
курой,морган-ап-керричь,6
курой,лютгарда,6
курой,змейк,28
курой,кехт,13
курой,орбилия,7
курой,мерлина,27
курой,мэлдун,8
курой,финтан,13
курой,гвидион,22
курой,оуэн,6
курой,хлодвиг,6
курой,ллевелиса,22
курой,коллен,6
курой,керидвено,8
курой,тарквиния,10
курой,кромвелеть,7
курой,сюань-цзан,6
карх,курой,17
карх,морган-ап-керричь,7
карх,змейк,16
карх,кехт,11
карх,орбилия,7
карх,мерлина,24
карх,мэлдун,9
карх,финтан,12
карх,гвидион,16
карх,ллевелиса,18
карх,бервин,10
карх,оуэн,10
карх,финтана,6
карх,тарквиния,7
морган-ап-керричь,курой,6
морган-ап-керричь,карх,7
морган-ап-керричь,змейк,8
морган-ап-керричь,мерлина,10
морган-ап-керричь,мэлдун,6
рианнона,змейк,14
рианнона,кехт,21
рианнона,мерлина,15
рианнона,финтан,6
рианнона,гвидион,19
рианнона,ллевелиса,13
рианнона,морвидда,7
рианнона,керидвено,6
рианнона,коллен,6
рианнона,диана,7
лютгарда,курой,6
лютгарда,змейк,8
лютгарда,мерлина,9
лютгарда,гвидион,7
лютгарда,ллевелиса,6
змейк,курой,28
змейк,карх,16
змейк,морган-ап-керричь,8
змейк,рианнона,14
змейк,лютгарда,8
змейк,кехт,17
змейк,орбилия,9
змейк,мерлина,35
змейк,мэлдун,13
змейк,финтан,14
змейк,гвидион,38
змейк,афарви,8
змейк,змейкома,13
змейк,ллевелиса,26
змейк,морвидда,8
змейк,керидвено,10
змейк,энида,6
змейк,квирт,10
змейк,хлодвиг,6
змейк,тарквиния,17
змейк,кромвелеть,9
змейк,хризост,7
змейк,дион,6
змейк,бассет,6
змейк,зануцк,6
кехт,курой,13
кехт,карх,11
кехт,рианнона,21
кехт,змейк,17
кехт,мерлина,17
кехт,мэлдун,9
кехт,финтан,7
кехт,гвидион,29
кехт,керидвено,10
кехт,ллевелиса,23
кехт,кехтом,9
кехт,гвенллиана,6
кехт,коллен,10
кехт,маккольм,6
кехт,хлодвиг,6
кехт,диана,11
орбилия,курой,7
орбилия,карх,7
орбилия,змейк,9
орбилия,мерлина,15
орбилия,гвидион,7
орбилия,ллевелиса,8
мерлина,курой,27
мерлина,карх,24
мерлина,морган-ап-керричь,10
мерлина,рианнона,15
мерлина,лютгарда,9
мерлина,змейк,35
мерлина,кехт,17
мерлина,орбилия,15
мерлина,мэлдун,16
мерлина,финтан,18
мерлина,гвидион,30
мерлина,ллеу,7
мерлина,ллевелиса,44
мерлина,оуэн,9
мерлина,керидвено,15
мерлина,финтана,7
мерлина,морвидда,11
мерлина,маккольм,8
мерлина,дилан,7
мерлина,квирт,18
мерлина,лливарх,6
мерлина,крейри,6
мерлина,двинвено,6
мерлина,афарви,10
мерлина,хлодвиг,10
мерлина,гвенллиана,9
мерлина,фингалл,7
мерлина,коллен,9
мерлина,тарквиния,12
мерлина,кромвелеть,7
мерлина,змейкома,8
мерлина,хризост,7
мерлина,бассет,7
